#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000.0,0.1000,19.85,179.77
2,1035.1,0.1000,19.87,179.77
3,1071.5,0.1000,19.85,179.71
4,1109.2,0.1000,19.86,179.71
5,1148.2,0.1000,19.86,179.71
6,1188.5,0.1000,19.86,179.71
7,1230.3,0.1000,19.86,179.67
8,1273.5,0.1000,19.86,179.71
9,1318.3,0.1000,19.86,179.71
10,1364.6,0.1000,19.86,179.67
11,1412.5,0.1000,19.86,179.66
12,1462.2,0.1000,19.86,179.61
13,1513.6,0.1000,19.86,179.60
14,1566.8,0.1000,19.86,179.62
15,1621.8,0.1000,19.86,179.60
16,1678.8,0.1000,19.86,179.54
17,1737.8,0.1000,19.86,179.60
18,1798.9,0.1000,19.86,179.56
19,1862.1,0.1000,19.86,179.54
20,1927.5,0.1000,19.86,179.55
21,1995.3,0.1000,19.86,179.48
22,2065.4,0.1000,19.86,179.48
23,2138.0,0.1000,19.87,179.48
24,2213.1,0.1000,19.86,179.48
25,2290.9,0.1000,19.86,179.43
26,2371.4,0.1000,19.85,179.48
27,2454.7,0.1000,19.86,179.44
28,2541.0,0.1000,19.86,179.39
29,2630.3,0.1000,19.86,179.37
30,2722.7,0.1000,19.86,179.37
31,2818.4,0.1000,19.86,179.33
32,2917.4,0.1000,19.86,179.31
33,3020.0,0.1000,19.85,179.29
34,3126.1,0.1000,19.86,179.26
35,3235.9,0.1000,19.86,179.26
36,3349.7,0.1000,19.86,179.21
37,3467.4,0.1000,19.86,179.16
38,3589.2,0.1000,19.86,179.14
39,3715.4,0.1000,19.87,179.14
40,3845.9,0.1000,19.86,179.14
41,3981.1,0.1000,19.87,179.09
42,4121.0,0.1000,19.86,179.04
43,4265.8,0.1000,19.86,178.98
44,4415.7,0.1000,19.86,178.97
45,4570.9,0.1000,19.85,178.95
46,4731.5,0.1000,19.86,178.91
47,4897.8,0.1000,19.85,178.87
48,5069.9,0.1000,19.86,178.80
49,5248.1,0.1000,19.86,178.80
50,5432.5,0.1000,19.86,178.70
51,5623.4,0.1000,19.86,178.68
52,5821.0,0.1000,19.86,178.68
53,6025.6,0.1000,19.86,178.63
54,6237.3,0.1000,19.86,178.56
55,6456.5,0.1000,19.86,178.47
56,6683.4,0.1000,19.85,178.46
57,6918.3,0.1000,19.85,178.40
58,7161.4,0.1000,19.86,178.36
59,7413.1,0.1000,19.86,178.28
60,7673.6,0.1000,19.86,178.22
61,7943.3,0.1000,19.85,178.18
62,8222.4,0.1000,19.85,178.11
63,8511.4,0.1000,19.85,178.01
64,8810.5,0.1000,19.85,177.94
65,9120.1,0.1000,19.85,177.88
66,9440.6,0.1000,19.85,177.82
67,9772.4,0.1000,19.84,177.70
68,10115.8,0.1000,19.84,177.65
69,10471.3,0.1000,19.84,177.58
70,10839.3,0.1000,19.84,177.49
71,11220.2,0.1000,19.85,177.42
72,11614.5,0.1000,19.83,177.31
73,12022.6,0.1000,19.84,177.25
74,12445.1,0.1000,19.83,177.14
75,12882.5,0.1000,19.83,177.02
76,13335.2,0.1000,19.84,176.96
77,13803.8,0.1000,19.83,176.85
78,14288.9,0.1000,19.83,176.74
79,14791.1,0.1000,19.82,176.62
80,15310.9,0.1000,19.83,176.47
81,15848.9,0.1000,19.83,176.39
82,16405.9,0.1000,19.83,176.24
83,16982.4,0.1000,19.82,176.10
84,17579.2,0.1000,19.83,175.99
85,18197.0,0.1000,19.81,175.87
86,18836.5,0.1000,19.81,175.76
87,19498.4,0.1000,19.82,175.61
88,20183.7,0.1000,19.81,175.46
89,20893.0,0.1000,19.80,175.26
90,21627.2,0.1000,19.80,175.08
91,22387.2,0.1000,19.79,174.92
92,23173.9,0.1000,19.79,174.80
93,23988.3,0.1000,19.79,174.61
94,24831.3,0.1000,19.78,174.44
95,25704.0,0.1000,19.78,174.23
96,26607.3,0.1000,19.78,174.10
97,27542.3,0.1000,19.77,173.87
98,28510.2,0.1000,19.77,173.71
99,29512.1,0.1000,19.76,173.42
100,30549.2,0.1000,19.75,173.24
101,31622.8,0.1000,19.75,173.01
102,32734.1,0.1000,19.74,172.84
103,33884.4,0.1000,19.73,172.55
104,35075.2,0.1000,19.73,172.34
105,36307.8,0.1000,19.72,172.09
106,37583.7,0.1000,19.71,171.82
107,38904.5,0.1000,19.71,171.58
108,40271.7,0.1000,19.70,171.29
109,41686.9,0.1000,19.69,171.02
110,43151.9,0.1000,19.68,170.69
111,44668.4,0.1000,19.68,170.39
112,46238.1,0.1000,19.67,170.10
113,47863.0,0.1000,19.66,169.80
114,49545.0,0.1000,19.66,169.46
115,51286.1,0.1000,19.64,169.11
116,53088.4,0.1000,19.62,168.77
117,54954.1,0.1000,19.61,168.42
118,56885.3,0.1000,19.61,167.98
119,58884.4,0.1000,19.60,167.60
120,60953.7,0.1000,19.59,167.22
121,63095.7,0.1000,19.57,166.82
122,65313.1,0.1000,19.56,166.42
123,67608.3,0.1000,19.54,165.96
124,69984.2,0.1000,19.53,165.51
125,72443.6,0.1000,19.51,164.99
126,74989.4,0.1000,19.49,164.54
127,77624.7,0.1000,19.48,164.08
128,80352.6,0.1000,19.46,163.51
129,83176.4,0.1000,19.44,163.00
130,86099.4,0.1000,19.42,162.43
131,89125.1,0.1000,19.40,161.89
132,92257.1,0.1000,19.37,161.28
133,95499.3,0.1000,19.35,160.69
134,98855.3,0.1000,19.32,160.08
135,102329.3,0.1000,19.28,159.39
136,105925.4,0.1000,19.26,158.76
137,109647.8,0.1000,19.23,158.07
138,113501.1,0.1000,19.19,157.38
139,117489.8,0.1000,19.16,156.69
140,121618.6,0.1000,19.11,155.95
141,125892.5,0.1000,19.07,155.14
142,130316.7,0.1000,19.04,154.39
143,134896.3,0.1000,18.97,153.64
144,139636.8,0.1000,18.93,152.84
145,144544.0,0.1000,18.89,151.90
146,149623.6,0.1000,18.82,151.07
147,154881.7,0.1000,18.78,150.12
148,160324.5,0.1000,18.70,149.25
149,165958.7,0.1000,18.65,148.31
150,171790.8,0.1000,18.59,147.41
151,177827.9,0.1000,18.52,146.43
152,184077.2,0.1000,18.45,145.36
153,190546.1,0.1000,18.36,144.38
154,197242.3,0.1000,18.27,143.38
155,204173.8,0.1000,18.20,142.38
156,211348.9,0.1000,18.10,141.27
157,218776.2,0.1000,18.00,140.17
158,226464.4,0.1000,17.91,139.08
159,234422.9,0.1000,17.81,137.98
160,242661.0,0.1000,17.70,136.76
161,251188.6,0.1000,17.57,135.58
162,260016.0,0.1000,17.45,134.48
163,269153.5,0.1000,17.33,133.37
164,278612.1,0.1000,17.20,132.20
165,288403.2,0.1000,17.07,131.00
166,298538.3,0.1000,16.92,129.75
167,309029.5,0.1000,16.78,128.51
168,319889.5,0.1000,16.63,127.29
169,331131.1,0.1000,16.48,123.70
170,342767.8,0.1000,16.33,124.90
171,354813.4,0.1000,16.15,123.68
172,367282.3,0.1000,15.98,122.32
173,380189.4,0.1000,15.80,121.00
174,393550.1,0.1000,15.64,119.72
175,407380.3,0.1000,15.47,118.31
176,421696.5,0.1000,15.27,116.86
177,436515.8,0.1000,15.07,115.58
178,451855.9,0.1000,14.99,114.17
179,467735.1,0.1000,14.78,113.11
180,484172.4,0.1000,14.58,111.63
181,501187.2,0.1000,14.37,110.36
182,518800.0,0.1000,14.16,109.36
183,537031.8,0.1000,13.93,107.87
184,555904.3,0.1000,13.70,106.73
185,575439.9,0.1000,13.47,105.38
186,595662.1,0.1000,13.23,104.36
187,616595.0,0.1000,13.00,102.90
188,638263.5,0.1000,12.76,101.65
189,660693.4,0.1000,12.52,100.21
190,683911.6,0.1000,12.27,98.92
191,707945.8,0.1000,12.03,97.95
192,732824.5,0.1000,11.75,96.54
193,758577.6,0.1000,11.52,95.24
194,785235.6,0.1000,11.25,94.03
195,812830.5,0.1000,10.99,92.83
196,841395.1,0.1000,10.72,91.18
197,870963.6,0.1000,10.42,89.74
198,901571.1,0.1000,10.15,88.73
199,933254.3,0.1000,9.88,87.18
200,966050.9,0.1000,9.61,85.80
201,1000000.0,0.1000,9.34,84.74
